bubble_sort_cpu,quick_sort_cpu,bubble_sort_gpu,quick_sort_gpu,radix_sort_gpu
0.663360,0.051520,2.334752,0.394912,0.076960
0.339040,0.034944,2.355648,0.373280,0.063520
0.358208,0.030112,2.335360,0.373952,0.046400
0.356736,0.001344,2.349600,0.372736,0.077952
0.368512,0.003072,2.333024,0.387616,0.048928
0.350816,0.002112,2.348992,0.372736,0.050496
0.360704,0.021344,2.332832,0.372896,0.046688
0.351200,0.001440,2.349056,0.372544,0.048480
0.351232,0.003328,2.353792,0.395648,0.046272
0.366496,0.001632,2.364448,0.394112,0.045056
0.330912,0.019168,2.333088,0.388992,0.046880
0.393088,0.018144,2.332672,0.373824,0.047456
0.369536,0.002112,2.334720,0.395488,0.048320
0.352544,0.002816,2.349568,0.395936,0.079808
0.280768,0.033120,2.350496,0.372928,0.106656
0.281408,0.041280,2.334720,0.372736,0.068384
0.358304,0.033280,2.334720,0.372736,0.045600
0.354720,0.029632,2.334464,0.372736,0.043008
0.362880,0.023360,2.335424,0.373088,0.081024
0.407904,0.003200,2.334720,0.373248,0.047104
0.357632,0.003072,2.335424,0.372800,0.046848
0.365184,0.027488,2.356608,0.373824,0.047360
0.349952,0.002592,2.349440,0.374624,0.043264
0.361120,0.023744,2.338208,0.374048,0.060992
0.365312,0.041856,2.350720,0.374080,0.044768
0.353952,0.026464,2.332672,0.373920,0.044064
0.358560,0.022656,2.332480,0.374144,0.050208
0.357952,0.022208,2.334464,0.372736,0.048800
0.354080,0.003872,2.335712,0.373184,0.047488
0.353344,0.002624,2.357824,0.373120,0.047008
0.371424,0.001664,2.347840,0.372736,0.118208
0.248416,0.104928,2.335008,0.372736,0.046144
0.355968,0.037280,2.338144,0.373248,0.049440
0.349312,0.032416,2.334432,0.372576,0.045056
0.339552,0.026976,2.334720,0.373664,0.063584
0.347392,0.019904,2.334720,0.373376,0.044160
0.355552,0.018944,2.335744,0.373344,0.041920
0.359968,0.008416,2.334720,0.374240,0.044288
0.348608,0.021280,2.335072,0.372736,0.149312
0.359712,0.018688,2.336352,0.356352,0.044896
0.351360,0.017888,2.137760,0.341760,0.041312
0.352256,0.026272,2.138144,0.342240,0.040960
0.266400,0.022624,2.137984,0.342016,0.040000
0.355488,0.019520,2.137920,0.342016,0.117152
0.343008,0.020000,2.137376,0.342432,0.040768
0.345152,0.018208,2.150400,0.340928,0.060320
0.345184,0.017024,2.136064,0.341824,0.060448
0.262688,0.005152,2.136800,0.341760,0.044160
0.388768,0.016288,2.136064,0.344064,0.143360
0.373696,0.012992,2.138272,0.343072,0.201440
0.257408,0.063552,2.138304,0.343712,0.118368
0.434496,0.059584,2.138112,0.342144,0.123360
0.440000,0.059328,2.138112,0.341632,0.076000
0.384544,0.053952,2.135872,0.342016,0.069632
0.422560,0.048128,2.135072,0.342016,0.071584
0.392544,0.055328,2.135904,0.341504,0.074304
0.438080,0.054272,2.134208,0.341824,0.074976
0.452160,0.057440,2.136064,0.340672,0.120224
0.427552,0.055968,2.134656,0.341856,0.118304
0.426016,0.053888,2.134432,0.341664,0.116736
0.429664,0.054848,2.135616,0.340928,0.120384
0.384896,0.019552,2.136064,0.341536,0.117344
0.404320,0.056224,2.135680,0.341856,0.116736
0.426528,0.052800,2.133344,0.341408,0.071040
0.394976,0.051488,2.134784,0.348736,0.180000
0.438400,0.012384,2.134016,0.340544,0.121056
0.399008,0.052320,2.135104,0.340768,0.115968
0.398112,0.053184,2.134016,0.341920,0.118560
0.391936,0.061120,2.134016,0.341152,0.131744
0.386176,0.019520,2.136544,0.341504,0.118784
0.399616,0.014432,2.134464,0.341472,0.118784
0.427136,0.050688,2.134304,0.340416,0.118112
0.426496,0.049632,2.137216,0.342016,0.072032
2.230816,0.016160,2.134016,0.340352,0.152192
0.429472,0.054464,2.134176,0.340992,0.118528
0.426816,0.051264,2.137824,0.342016,0.070464
0.432192,0.053184,2.137344,0.340448,0.115296
0.391712,0.051008,2.137056,0.345760,0.081504
0.505056,0.052896,2.134592,0.340736,0.118784
0.409440,0.053472,2.134944,0.341408,0.118464
0.398080,0.051616,2.134016,0.340960,0.112768
0.402272,0.051200,2.136480,0.342016,0.071840
0.390816,0.060096,2.136064,0.354208,0.119680
0.391584,0.052352,2.135552,0.342208,0.115808
0.406464,0.047648,2.136064,0.340128,0.116736
0.413408,0.048832,2.132288,0.340640,0.119072
0.427008,0.053600,2.131968,0.340896,0.119008
0.275296,0.052864,2.137664,0.341856,0.119168
0.421312,0.052288,2.134176,0.341664,0.118304
0.428032,0.058304,2.134016,0.341824,0.071488
0.426880,0.062048,2.133792,0.340576,0.075776
0.430144,0.051968,2.135680,0.340832,0.122112
0.424960,0.052000,2.136192,0.341888,0.117568
0.427232,0.052480,2.135648,0.341888,0.116640
0.502848,0.007232,2.133632,0.342080,0.118784
0.393600,0.053760,2.135616,0.344128,0.070528
0.429088,0.017600,2.132800,0.340320,0.120608
0.399680,0.052160,2.131968,0.340608,0.118112
0.428896,0.052096,2.133184,0.341344,0.071168
0.393248,0.018272,2.132096,0.340224,0.116832
